traj,X,Y,Z
2,63.4079,61.0645,123.8741
2,64.3886,61.3333,123.2461
2,64.779,62.085,122.5273
2,64.638,60.9611,121.9714
2,64.9848,61.9668,121.3498
2,65.3432,60.3575,121.3102
2,64.7997,60.6131,120.2828
2,64.2153,59.7201,121.1532
2,65.5586,59.452,120.8037
2,64.8177,60.8991,120.5376
2,64.9563,61.1558,121.609
2,66.4125,61.7354,121.1196
2,65.1437,61.0134,121.8207
2,63.8062,60.8984,121.3063
2,65.2626,60.6849,120.9005
2,66.7139,60.5215,121.3455
2,67.7179,61.1041,121.6272
2,67.5049,61.6694,122.482
2,68.237,60.9216,122.8889
2,69.1191,61.7431,123.041
2,67.8724,61.6515,123.3247
2,68.7258,61.1761,123.7079
2,69.5433,61.863,122.9449
2,70.819,61.9179,122.9151
2,71.6276,62.5599,122.0313
2,70.9108,62.7542,123.0361
2,70.6697,63.8559,122.4593
2,70.2962,62.7154,122.3854
2,71.4327,62.2795,122.2992
2,72.2968,62.06,121.3272
2,70.8345,62.1313,122.1066
2,69.6945,63.0087,122.114
2,70.5759,61.9861,122.0838
2,70.1651,62.1409,123.0361
2,71.06,61.7724,122.0703
2,69.9573,61.785,123.0147
2,70.9104,60.8859,122.9916
2,70.2364,59.8936,123.0224
2,70.0456,58.7817,122.6197
2,68.9111,58.3228,123.2754
2,68.1865,57.3625,123.099
2,66.8408,57.8517,123.1698
2,67.1781,56.5972,122.8969
2,67.4825,57.9353,122.9661
2,67.5477,57.7653,122.0411
2,68.366,57.5637,121.2135
2,69.5363,57.5993,120.4737
2,69.3897,56.2577,120.5985
2,70.4541,55.5343,120.0679
2,69.2711,54.8427,120.7416
2,68.2728,55.2712,121.2436
3,63.7531,60.9709,123.2114
3,63.2357,62.0644,122.934
3,62.7594,60.6321,123.4465
3,61.8968,59.5611,123.1977
3,61.9957,60.9278,123.1955
3,61.9486,61.6804,122.4616
3,63.0499,60.6772,122.3353
3,64.2847,61.3623,122.0535
3,65.438,61.9536,121.7
3,64.2616,62.8075,121.9102
3,64.4482,61.6771,121.1609
3,65.1622,61.7302,120.3796
3,64.2287,62.7688,120.652
3,65.0774,61.4649,120.6416
3,63.6662,61.1803,121.1326
3,63.4627,62.0772,121.6969
3,64.1125,63.5494,121.3609
3,63.1815,62.2773,121.7635
3,62.9936,61.9286,120.7215
3,62.4707,63.0065,121.2235
3,62.562,63.5432,120.3254
3,61.7171,63.694,119.6194
3,59.9646,63.0584,120.1991
3,60.5823,62.1095,120.672
3,60.7199,63.7647,120.6112
3,61.4008,64.2778,121.4619
3,60.4409,63.5784,120.8146
3,60.1679,63.7308,121.9689
3,61.1784,64.0994,120.9716
3,59.762,63.6402,121.0145
3,58.3184,62.7186,121.4101
3,58.0951,63.6885,122.0933
3,56.6152,64.047,121.8705
3,56.1132,64.218,122.9154
3,56.8114,65.7745,122.2389
3,57.2488,64.31,122.2155
3,55.8513,64.005,122.2612
3,57.0417,64.5634,122.5478
3,58.0145,64.3325,121.7714
3,59.2069,64.192,121.1701
3,60.1605,64.5675,122.0023
3,61.7319,65.4479,121.3145
3,62.9895,64.5793,121.4647
3,62.8061,63.9585,120.5531
3,61.6055,62.7497,121.1305
3,60.4644,62.5306,121.5216
3,60.0501,63.112,120.4014
3,61.7516,62.989,121.1134
3,61.3419,63.6098,121.9938
3,61.4854,62.6487,122.4509
3,62.3724,62.815,122.7677
4,63.3438,61.1621,122.9871
4,63.4084,62.3006,123.0607
4,62.2102,61.6412,123.3497
4,63.4215,60.9868,122.8785
4,64.4747,60.6676,122.1171
4,65.8949,60.4914,122.5602
4,65.5985,59.7192,123.2098
4,65.3976,58.924,122.3559
4,66.6781,59.1437,122.118
4,67.1505,59.1143,121.1541
4,67.6598,57.6813,121.003
4,69.0844,57.7727,120.3202
4,68.6579,58.7516,119.7746
4,70.0781,58.0714,120.2549
4,68.5933,58.3899,120.4418
4,67.5484,59.2146,121.0649
4,66.3904,58.3972,121.234
4,66.4662,59.7668,121.4034
4,66.6252,61.037,121.0985
4,68.0372,60.8104,121.5249
4,66.7674,61.4182,122.046
4,66.9253,61.2023,122.8309
4,67.6863,62.0002,123.3274
4,68.9349,61.8914,123.0174
4,69.9114,62.7585,122.682
4,69.7879,63.8713,122.1644
4,70.7077,64.5695,121.588
4,69.775,65.565,121.906
4,70.8424,65.2163,121.1406
4,70.2808,66.2562,120.8299
4,70.6161,64.7466,121.3144
4,70.6631,63.527,121.3467
4,71.0332,63.9766,120.2127
4,70.166,63.5309,119.7048
4,70.5341,62.0379,119.6469
4,70.9144,61.2631,118.554
4,72.5635,61.8759,119.088
4,73.6149,61.9268,119.4288
4,72.5176,63.1183,118.9874
4,71.4116,63.3767,118.72
4,70.5964,63.2828,118.0937
4,69.8147,62.0109,118.8188
4,70.1721,63.5074,118.3438
4,70.3426,62.0524,118.4521
4,68.85,62.7247,118.218
4,69.5159,61.784,117.4667
4,68.2087,62.1583,117.3508
4,68.3003,62.8504,116.5484
4,68.7726,61.2103,116.5925
4,68.9151,59.819,116.7453
4,69.3444,60.2526,115.7512
5,63.7326,61.0206,122.7419
5,63.4038,61.088,121.909
5,64.361,60.1589,121.3442
5,65.2482,60.4282,120.5025
5,64.319,61.625,120.9294
5,65.7887,61.7346,121.5083
5,65.5509,63.2821,121.4005
5,65.2246,62.7169,120.5745
5,64.722,61.5569,120.1081
5,63.7708,62.5886,120.6051
5,64.769,62.3102,121.4645
5,64.5622,61.2073,121.6998
5,63.6925,62.4913,121.5895
5,62.4488,62.6276,121.3154
5,61.7351,63.6143,121.1
5,60.713,62.5163,121.3393
5,60.0305,61.4708,121.8911
5,61.232,62.6551,121.5547
5,61.8888,63.4537,120.8907
5,62.6379,62.6398,121.7157
5,61.3083,63.4538,121.1768
5,60.2651,64.0684,120.8432
5,61.6149,64.3315,121.2429
5,62.1574,64.597,122.0963
5,60.985,65.5784,121.7277
5,62.0399,64.7731,122.288
5,62.1553,65.185,121.1534
5,63.0019,66.1009,120.9556
5,63.8579,66.3767,121.8354
5,63.3538,66.8089,120.7165
5,63.466,65.2422,120.8781
5,62.6846,66.6771,120.765
5,62.715,67.9626,120.9778
5,63.7479,68.7488,120.9984
5,63.0907,67.7792,121.9
5,64.2455,67.1081,122.2342
5,64.9137,67.0736,122.935
5,63.5905,66.9859,123.3172
5,62.2041,66.5847,123.3301
5,62.9348,67.7773,123.2074
5,63.6556,68.3567,122.437
5,63.5178,68.6061,121.5917
5,62.3172,67.9947,121.4064
5,61.9512,67.1698,120.6363
5,61.2694,65.53,121.4409
5,61.4739,66.3203,122.2018
5,62.4739,65.925,122.6868
5,61.8905,66.2299,121.6035
5,60.9908,66.8462,121.0467
5,60.1322,67.8611,120.5403
5,60.0815,67.7104,119.9487
6,63.4201,61.2402,122.6809
6,62.378,60.0175,123.2052
6,63.172,61.1692,122.9316
6,63.4892,61.3104,121.9872
6,63.5511,59.7743,122.4553
6,63.8783,58.6031,122.211
6,63.9083,59.9155,122.1928
6,64.5062,60.9403,121.8337
6,64.5452,62.2642,121.9316
6,65.0674,61.47,121.0178
6,65.3246,62.5623,120.8279
6,65.2496,62.6871,120.0375
6,66.0465,61.1625,120.0264
6,67.0813,60.4019,120.4258
6,65.7417,60.307,120.9819
6,66.3241,61.2754,121.4505
6,66.5628,60.8502,120.3708
6,67.7962,59.9017,120.2404
6,68.2014,61.0682,120.6229
6,68.431,59.8101,120.5364
6,68.9074,58.9139,119.6069
6,69.1136,58.0578,118.7372
6,68.1751,56.7422,119.2131
6,68.2943,56.7464,118.1021
6,67.1332,56.3954,117.767
6,66.6073,57.0541,118.8915
6,65.4754,55.8636,118.6743
6,66.5471,56.8034,119.0302
6,67.2046,56.6596,117.8386
6,67.711,57.9735,117.7393
6,67.4307,56.9063,117.0295
6,68.3326,55.4432,116.7868
6,67.1602,57.0173,116.8225
6,66.3327,56.1644,116.2004
6,65.1491,55.9864,117.3169
6,63.3744,56.6315,116.9973
6,62.8018,56.0634,116.1016
6,61.8425,56.4872,115.4282
6,60.4092,57.3497,115.6214
6,60.808,56.1676,116.5882
6,60.2719,56.5341,117.4911
6,61.7846,55.9079,116.9388
6,61.4688,56.1703,117.9563
6,61.3668,56.3429,116.749
6,61.5611,55.6682,117.8696
6,62.7091,56.3936,118.4139
6,62.2881,57.5267,119.0375
6,62.2174,58.8372,119.6737
6,63.0265,57.9501,119.7499
6,63.3247,57.0794,118.7584
6,64.1562,56.2091,118.5852
7,63.4778,60.8863,122.4552
7,63.5651,59.6962,121.8851
7,62.6438,59.9708,122.7791
7,62.7081,59.3561,121.8243
7,63.5131,60.3875,122.0458
7,64.0628,61.5468,122.2099
7,64.982,60.6809,121.654
7,65.5796,59.2978,121.5755
7,65.7055,58.159,121.7545
7,65.7105,56.9681,122.1029
7,66.2349,56.6942,121.04
7,66.7978,56.6295,120.0718
7,65.5493,56.8028,120.9146
7,66.5501,56.57,121.3171
7,67.124,57.9028,121.0276
7,67.706,56.5207,121.25
7,67.8968,55.505,121.7755
7,67.4102,54.2764,121.5424
7,67.4915,54.0779,120.4198
7,67.7753,54.7597,119.7148
7,67.9198,54.1975,120.6907
7,66.7812,55.1659,121.03
7,66.9985,54.2003,121.6989
7,66.0947,53.4417,120.9782
7,67.1165,53.8096,121.7258
7,67.5355,54.5555,122.4974
7,68.343,55.7108,121.9053
7,69.0869,56.8893,122.0143
7,69.3111,57.7173,121.3102
7,68.2093,58.1304,120.8751
7,68.813,56.6697,120.791
7,68.3451,58.0858,120.8732
7,67.1946,58.8312,121.0395
7,67.7572,59.4308,120.0925
7,68.9658,59.4358,119.3211
7,67.429,58.5115,120.0808
7,66.8019,57.5429,120.2958
7,66.0813,56.5463,120.4029
7,64.8696,56.7554,121.04
7,63.4005,56.6895,121.4142
7,64.9774,56.5006,120.994
7,65.8247,55.994,120.126
7,65.1237,54.6389,120.6772
7,65.5346,53.6841,121.101
7,66.1392,52.4226,120.7263
7,67.3158,52.0797,119.9863
7,67.6343,52.6361,121.0874
7,66.9734,51.6661,120.3289
7,68.3653,51.8676,119.8964
7,67.3822,52.0614,119.3804
7,66.5291,52.5498,119.5086
8,63.7372,60.5667,122.3845
8,64.9043,59.6538,122.2731
8,64.9958,60.8579,122.7486
8,65.9334,61.6135,121.966
8,65.8083,61.2363,121.0011
8,65.6765,62.2572,120.6251
8,65.8623,62.8949,121.677
8,67.2997,63.6421,120.9065
8,67.9073,63.2002,121.8463
8,67.1853,64.4218,122.0179
8,68.2841,63.7479,121.9183
8,67.2544,64.85,121.9786
8,66.6606,64.5105,122.9764
8,66.8551,65.8273,122.548
8,66.0478,65.8924,121.8295
8,66.1691,66.0735,121.0229
8,66.8266,65.4344,120.209
8,68.3716,65.3702,120.5702
8,69.4619,65.3693,120.8137
8,68.6644,66.0551,121.5565
8,68.362,65.9964,120.4348
8,68.2773,64.7094,119.9744
8,69.7744,64.5994,120.3041
8,71.0559,64.626,120.4497
8,70.2867,63.7335,120.7597
8,68.7474,63.8959,120.3923
8,68.0339,64.4139,119.7553
8,69.1544,63.6025,119.6119
8,68.488,63.4361,120.4961
8,67.862,62.4199,120.3215
8,69.0743,62.52,120.5487
8,69.7367,63.2818,120.9733
8,70.478,63.2825,119.8015
8,70.0125,63.7833,120.9932
8,69.4608,62.4927,120.8758
8,69.943,62.342,121.5777
8,69.0045,63.1979,121.8601
8,70.1083,62.891,121.0155
8,70.1543,64.1766,121.3035
8,70.4388,62.8551,121.3961
8,69.9777,64.2469,121.3637
8,69.4193,63.2936,122.1646
8,68.0509,63.1322,122.2685
8,68.4811,61.9392,122.5115
8,68.5124,61.3498,123.2795
8,68.9668,60.1872,123.2109
8,69.6744,59.1368,122.991
8,68.5456,58.3714,122.9456
8,67.4917,57.5017,122.9329
8,66.872,56.9604,122.0676
8,66.7015,57.9031,122.2528
9,63.6882,60.9816,122.3108
9,64.3143,61.3062,121.4851
9,64.8451,60.8441,122.4733
9,66.1327,60.2277,122.11
9,65.4523,61.3607,121.7776
9,66.812,61.1226,122.2801
9,66.377,60.6219,121.4037
9,66.8645,60.5671,120.3752
9,68.0888,59.5316,120.3681
9,68.822,58.5286,120.4401
9,68.1796,57.5745,120.8265
9,69.2127,57.219,121.2151
9,68.7976,56.2727,120.4363
9,69.0489,57.5085,120.788
9,67.4708,57.434,121.3571
9,66.4142,58.5199,120.9997
9,65.2919,58.0547,120.6877
9,66.0749,59.1629,120.3678
9,66.8808,60.2797,120.4105
9,66.9347,60.7384,121.5601
9,65.5623,61.0104,121.1041
9,64.3334,61.0627,120.6581
9,65.7697,60.8387,120.2585
9,66.2995,59.8023,119.7257
9,67.7114,58.9817,120.3458
9,67.3798,57.9866,119.6107
9,67.2559,59.2626,119.6439
9,68.3651,58.2673,120.0454
9,67.5593,57.7202,120.7941
9,66.517,57.4898,121.4631
9,65.3855,56.9411,121.0057
9,66.1558,55.7482,121.0865
9,66.2412,55.9742,120.0913
9,66.3651,57.3712,120.3264
9,65.8399,56.221,119.9273
9,64.3401,56.5681,120.2236
9,65.7281,57.0123,120.7306
9,64.5901,56.9694,121.4399
9,65.7198,56.2796,121.3721
9,66.1228,56.6262,120.3995
9,64.8868,56.905,120.1328
9,64.9468,55.6706,119.5538
9,65.1102,54.1501,120.0405
9,66.7036,54.7132,119.3718
9,67.2253,54.3679,118.4109
9,65.9691,54.1524,117.8754
9,65.5114,53.319,118.8878
9,67.1708,53.5426,118.2746
9,68.6425,53.2655,118.1298
9,68.9609,52.058,117.4474
9,69.3858,52.0538,117.9746
10,63.786,60.6835,122.1704
10,64.696,61.0518,123.0231
10,65.6843,60.2934,122.7028
10,67.1622,60.5544,122.1287
10,67.1526,61.407,122.9693
10,67.7035,60.4268,123.0444
10,68.7104,61.1925,122.4051
10,67.7634,60.5472,122.1652
10,69.058,60.2886,122.2665
10,69.0276,59.0395,121.8463
10,68.6052,60.4396,121.627
10,69.0526,59.0346,121.903
10,69.8759,58.2078,121.3583
10,68.8274,57.3475,121.4367
10,69.1983,58.2935,122.1023
10,69.5343,57.5745,121.1315
10,69.3105,56.7558,121.967
10,70.0039,57.5893,121.1427
10,69.6057,58.8577,120.8827
10,69.9196,57.4813,121.1007
10,69.4912,56.955,121.9019
10,70.0334,57.9302,122.4034
10,68.9956,57.1906,122.6102
10,68.9566,56.1708,121.857
10,69.5378,57.089,121.3107
10,70.8178,57.2349,121.7047
10,70.3726,58.5014,121.5608
10,69.0739,58.4174,121.5937
10,67.8144,58.0894,121.7143
10,66.7175,58.3442,121.3099
10,66.4828,57.6588,122.2384
10,65.1518,57.941,122.6309
10,64.1361,58.8364,122.4546
10,65.3635,58.5732,122.9752
10,65.6019,59.9041,122.5717
10,66.6191,60.6836,122.4874
10,68.0489,61.1865,122.6913
10,68.0208,62.5434,122.4088
10,68.422,61.2464,122.9133
10,69.2171,61.7199,122.0169
10,70.0439,62.6061,122.1598
10,70.7441,62.4234,121.2433
10,72.1982,62.8033,121.5349
10,72.3265,61.9659,120.6643
10,72.4275,62.1512,119.684
10,72.4058,62.5159,118.9233
10,73.9576,62.2976,118.363
10,74.5452,61.1805,119.1334
10,74.2968,60.6786,118.0562
10,74.9198,60.8371,117.1203
10,76.18,61.161,117.2492
11,63.9613,60.9818,122.0837
11,63.1747,61.5674,121.3818
11,62.4611,60.827,120.7469
11,62.8878,59.8566,120.0422
11,63.3746,60.9022,120.0535
11,64.6937,61.4916,119.8652
11,65.1402,62.708,119.5917
11,66.5664,63.0868,120.0221
11,67.1088,63.0285,120.7726
11,67.5293,62.6561,119.7417
11,69.1904,62.7618,120.1126
11,69.8077,62.3878,118.9785
11,69.7888,61.1899,118.5244
11,70.1914,60.2518,117.8505
11,68.6608,60.0649,118.0564
11,69.635,58.9071,117.8139
11,68.3301,59.7268,117.3804
11,67.0292,60.3085,117.625
11,68.1153,60.4612,118.3891
11,66.9757,59.9014,118.7863
11,65.8739,59.0891,119.3727
11,66.9661,58.6624,118.3055
11,66.4036,58.1749,119.4455
11,67.3029,57.4583,119.6576
11,66.576,59.0537,119.4257
11,66.2799,59.7047,118.7268
11,67.4399,58.691,118.6617
11,67.2081,58.8816,119.6746
11,66.6257,57.7042,119.7296
11,66.484,58.8228,120.268
11,65.169,59.2709,120.7107
11,65.0665,58.0008,120.2069
11,64.3883,59.7804,120.1118
11,64.4055,58.5448,120.8285
11,64.5197,60.0759,120.8842
11,63.8532,59.6841,121.8117
11,62.3312,59.8394,121.7162
11,60.7582,59.542,122.1705
11,62.0406,59.0279,121.8969
11,62.9885,60.1598,121.7108
11,62.0383,59.4374,122.6135
11,62.7793,60.7895,121.9618
11,61.3991,60.4421,122.6739
11,61.614,59.248,123.0233
11,61.3922,59.2016,121.9633
11,61.0667,59.5603,121.0457
11,62.2959,60.0824,121.0898
11,61.3317,59.2491,121.9994
11,60.8309,60.6615,122.0084
11,59.8736,61.3545,121.5819
11,60.1352,60.4424,121.1489
12,63.6086,60.9182,121.9718
12,61.998,60.2699,122.5747
12,60.7943,59.6918,122.0372
12,59.2132,59.8938,122.3423
12,60.7108,59.7035,122.0211
12,60.1388,59.4637,123.0913
12,60.5654,60.844,122.6845
12,60.2774,59.4677,122.6007
12,61.3311,59.9474,123.0413
12,61.6394,61.3449,122.5186
12,60.3022,61.0933,122.4968
12,59.8333,62.3167,122.5859
12,60.0536,63.4812,122.1537
12,58.9342,63.7067,122.9964
12,59.3464,62.5295,123.0582
12,58.0051,62.4558,122.6222
12,57.5936,60.9711,122.5375
12,57.2558,62.4192,122.4689
12,58.1272,62.8343,123.3848
12,56.8132,62.4758,122.7695
12,56.5932,63.767,122.878
12,57.5557,63.3703,122.0029
12,56.9101,62.971,123.087
12,57.0829,61.8471,123.2768
12,56.8966,60.7121,123.1845
12,57.0641,59.5302,123.0172
12,57.7138,60.5853,123.1792
12,56.6479,61.4288,123.1005
12,57.1824,62.3367,122.3162
12,55.9477,61.4393,123.1116
12,57.2984,61.3612,122.392
12,58.1593,59.956,122.333
12,57.7242,60.3247,123.245
12,57.7381,61.1714,122.2592
12,59.0378,60.2797,122.839
12,57.9517,59.8196,122.3219
12,59.1488,59.2708,121.6612
12,57.7518,59.5899,121.8466
12,57.2554,60.6349,121.6597
12,58.5719,60.416,122.3625
12,57.7947,59.649,122.8106
12,56.3566,60.0,122.4326
12,57.1342,60.9648,123.18
12,58.5163,61.8083,122.8531
12,57.5306,60.7478,123.2679
12,56.9537,61.852,122.4445
12,57.4415,60.3085,122.4645
12,57.0428,61.0179,123.3485
12,58.0768,61.8936,123.5797
12,57.1848,61.1572,122.8615
12,57.4269,62.0216,122.602
13,63.2523,60.9149,121.9086
13,62.1768,61.3174,121.5118
13,61.222,59.9757,121.7233
13,59.8059,60.7011,121.4052
13,61.0182,60.9501,120.8065
13,62.038,59.6311,121.0862
13,60.6118,60.0132,121.0577
13,61.8585,59.478,121.1358
13,60.8833,58.9439,121.4849
13,60.8695,58.1791,120.4284
13,59.3947,57.2943,120.9595
13,60.0769,56.5228,119.9878
13,60.6041,57.6887,120.0925
13,60.253,57.3071,119.2276
13,61.3548,57.2259,118.528
13,62.8062,57.3933,118.1146
13,62.0309,56.3066,117.6768
13,62.6176,54.7187,117.5745
13,62.6607,55.3225,118.5643
13,62.9034,56.99,117.9298
13,61.7708,55.8889,118.3577
13,61.5937,55.7831,119.2583
13,60.5247,54.8782,119.1364
13,61.1469,56.3008,119.2406
13,61.0786,57.0997,118.5321
13,62.2756,56.0891,118.5097
13,63.3002,56.2457,117.5149
13,63.1102,57.5029,117.2124
13,61.9338,56.7868,116.8808
13,62.2932,55.6274,117.7908
13,62.845,54.6671,118.2675
13,62.4946,56.5493,118.3868
13,62.6729,57.8309,118.927
13,63.9609,58.2236,119.4959
13,63.5746,60.0814,119.4072
13,64.5836,60.7406,118.7222
13,64.6376,59.9801,117.9485
13,63.1039,59.0256,118.4503
13,62.6169,60.7716,118.3758
13,61.0135,60.1948,118.9727
13,62.1816,60.3161,119.5099
13,63.2705,59.5214,119.7079
13,62.3415,60.7677,119.8836
13,63.5353,61.1285,119.1938
13,63.6269,61.2108,118.2575
13,64.9599,60.4019,117.685
13,63.8591,59.1354,118.0655
13,63.2085,58.0196,118.5611
13,61.9089,57.6419,118.7824
13,61.317,59.3664,118.7752
13,60.8411,58.5537,118.7457
14,63.4752,60.8223,121.7091
14,62.057,60.2494,121.75
14,60.6562,60.3903,121.6079
14,61.5418,59.0581,121.5608
14,60.9363,60.455,121.4732
14,61.0332,61.5606,121.0402
14,62.2208,61.26,121.8383
14,61.7416,62.746,121.7067
14,63.1516,62.5202,122.2982
14,64.473,63.3271,121.7258
14,63.1044,63.521,121.9842
14,61.6928,63.7322,122.1376
14,62.5716,64.5869,121.5993
14,63.3237,64.8955,120.8054
14,62.5803,64.6944,121.93
14,62.069,66.1654,121.7968
14,63.15,65.4322,121.0932
14,64.2479,65.1839,121.985
14,62.9891,64.9942,122.3963
14,63.5721,66.5164,121.9284
14,64.3761,67.5668,122.1126
14,63.8541,68.4291,121.5025
14,63.6815,67.0313,121.5581
14,64.6951,66.8065,120.6981
14,63.5141,66.3513,121.5988
14,62.2087,65.8919,121.9452
14,62.2343,67.4753,121.727
14,63.0481,68.004,120.8462
14,63.4307,66.4821,121.1671
14,63.0236,66.7212,122.1388
14,63.4932,67.756,122.6044
14,62.4098,67.8262,121.8716
14,62.415,66.9731,121.1225
14,62.5091,66.8604,120.2229
14,64.0646,67.1172,120.8047
14,63.7614,67.969,119.697
14,63.6877,69.2294,119.4224
14,64.003,69.4016,118.529
14,64.364,67.7482,118.9216
14,64.187,66.9121,118.0941
14,65.7309,67.0397,118.2893
14,66.0939,65.7114,117.7501
14,66.9779,65.8865,118.4112
14,67.3638,64.6622,118.2388
14,68.8815,65.0033,117.3287
14,68.1006,66.1507,117.1449
14,68.9207,64.9569,116.9653
14,69.8417,65.9083,117.0711
14,68.7608,65.2034,116.6873
14,68.6572,64.5016,117.782
14,67.206,64.4993,117.8601
15,63.619,61.3819,121.516
15,63.9581,62.6201,121.5427
15,65.2798,62.2977,120.9712
15,65.0919,60.7957,121.1801
15,64.2844,60.3841,121.9171
15,65.4322,59.7552,121.7292
15,64.6088,58.5979,121.5803
15,63.7629,58.261,122.3072
15,63.1445,57.093,122.4832
15,63.4955,58.475,122.5211
15,64.6217,57.5389,122.3419
15,65.7938,57.8266,122.64
15,65.7256,56.8206,121.9628
15,64.3794,57.0002,122.3176
15,64.6499,57.2558,121.4041
15,64.2622,58.5505,121.5411
15,65.0671,59.4685,121.545
15,64.0913,58.6872,121.3931
15,64.5067,57.2778,121.614
15,64.0113,58.3686,122.179
15,65.0793,58.6028,122.7781
15,66.0776,57.5704,122.1762
15,66.773,56.6244,121.3852
15,65.5041,56.8927,122.1074
15,65.2787,58.3088,121.738
15,66.4766,57.5509,121.5586
15,67.5202,58.2923,121.7817
15,66.4653,59.2119,122.154
15,67.1771,60.3683,122.347
15,65.9887,60.624,122.0829
15,66.9954,59.6542,122.3369
15,68.297,59.6285,122.5594
15,68.4677,60.2441,121.6135
15,69.7015,59.7614,121.6476
15,69.4628,58.587,121.8972
15,68.7879,57.7711,121.198
15,69.7153,58.3866,120.5342
15,69.9287,58.9883,121.4828
15,69.2273,58.9587,122.3213
15,70.2592,59.2343,121.3929
15,69.0953,59.7822,121.9009
15,69.5368,59.4367,120.9918
15,70.783,59.1013,121.525
15,69.7105,59.6936,122.224
15,68.367,59.5093,121.9096
15,67.9997,58.3998,122.5978
15,69.3721,58.2394,122.1863
15,68.8003,59.0241,121.5797
15,70.2061,58.8711,121.1257
15,70.84,59.5312,120.3262
15,71.6752,59.1546,120.1513
