traj,encoder1,encoder2,encoder3,X,Y,Z,angle1,angle2,angle3
0,40.7013,41.1328,40.8138,63.4079,61.0645,123.8741,41.5036,41.5036,41.5036
0,40.7013,45.2637,40.9895,64.3886,61.3333,123.2461,-0.0821,4.4172,0.0668
0,38.8556,41.4844,42.22,64.779,62.085,122.5273,-2.3312,-4.0247,0.8716
0,38.8556,41.4844,46.0872,64.638,60.9611,121.9714,-0.3441,-0.4971,4.093
0,37.713,42.8906,43.2747,64.9848,61.9668,121.3498,-1.2099,1.7047,-3.5272
0,40.7892,48.0762,45.6478,65.3432,60.3575,121.3102,3.5587,5.5707,2.5417
0,44.3048,46.8457,47.1419,64.7997,60.6131,120.2828,3.6315,-1.679,0.7181
0,47.2931,47.6367,45.3841,64.2153,59.7201,121.1532,3.478,0.6981,-1.8342
0,50.3692,49.3066,44.4173,65.5586,59.452,120.8037,3.604,1.9117,-1.4377
0,47.5567,51.2402,43.8899,64.8177,60.8991,120.5376,-3.2724,2.011,-0.7922
0,50.9845,52.0312,48.8118,64.9563,61.1558,121.609,3.6484,1.205,5.0921
0,55.9942,55.8105,51.8001,66.4125,61.7354,121.1196,5.4343,3.9014,3.4136
0,53.797,58.0957,50.3938,65.1437,61.0134,121.8207,-2.633,2.3463,-1.7011
0,55.8185,55.7227,52.1517,63.8062,60.8984,121.3063,2.294,-2.6748,1.4753
0,51.5118,54.4922,52.2395,65.2626,60.6849,120.9005,-4.5896,-1.1202,0.1376
0,48.0841,53.3496,47.9329,66.7139,60.5215,121.3455,-3.8201,-0.7813,-4.6921
0,49.4024,55.5469,45.3841,67.7179,61.1041,121.6272,1.7991,2.5244,-2.4111
0,47.2052,53.6133,47.7571,67.5049,61.6694,122.482,-2.5382,-2.0865,2.2745
0,51.336,57.041,52.7669,68.237,60.9216,122.8889,4.4654,3.4015,5.3533
0,47.8204,56.9531,49.3392,69.1191,61.7431,123.041,-3.7261,0.4111,-3.6355
0,51.6876,62.3145,52.5032,67.8724,61.6515,123.3247,4.1574,5.2498,3.5044
0,53.2696,66.4453,56.8978,68.7258,61.1761,123.7079,2.0368,4.5837,4.6529
0,48.8751,65.918,58.1282,69.5433,61.863,122.9449,-4.5699,-0.8121,0.3048
0,48.2599,61.6113,56.6341,70.819,61.9179,122.9151,-0.7388,-4.8686,-1.5556
0,47.5567,63.1934,53.2942,71.6276,62.5599,122.0313,0.0815,1.8501,-3.3941
0,45.711,60.9961,48.2845,70.9108,62.7542,123.0361,-2.0796,-2.4511,-5.5882
0,45.711,61.6992,52.679,70.6697,63.8559,122.4593,0.526,0.9943,4.9646
0,40.877,58.3594,48.1087,70.2962,62.7154,122.3854,-5.2161,-3.8377,-4.7101
0,46.0626,61.084,50.0423,71.4327,62.2795,122.2992,5.635,3.0569,2.3273
0,43.5138,61.1719,52.4153,72.2968,62.06,121.3272,-2.8789,0.1118,2.5605
0,39.9981,60.3809,54.4368,70.8345,62.1313,122.1066,-3.7699,-0.9609,1.5796
0,36.0431,59.0625,49.6907,69.6945,63.0087,122.114,-4.4492,-1.6048,-4.9366
0,32.7032,59.5898,50.7454,70.5759,61.9861,122.0838,-3.4456,0.784,1.7516
0,27.3419,56.7773,46.5267,70.1651,62.1409,123.0361,-5.7782,-3.3088,-4.427
0,29.9786,60.5566,45.2962,71.06,61.7724,122.0703,2.9964,4.1398,-0.2988
0,32.7032,59.502,48.636,69.9573,61.785,123.0147,2.9087,-1.2076,3.4614
0,29.4513,59.502,50.1302,70.9104,60.8859,122.9916,-3.5582,-0.1965,1.9451
0,30.3302,58.0957,46.3509,70.2364,59.8936,123.0224,1.217,-1.6407,-3.9075
0,35.6036,59.6777,48.9876,70.0456,58.7817,122.6197,5.6725,1.4219,2.5454
0,40.877,61.4355,50.9212,68.9111,58.3228,123.2754,5.6497,2.1035,1.8345
0,40.086,59.5898,46.3509,68.1865,57.3625,123.099,-0.8166,-2.3395,-5.1358
0,44.92,61.3477,45.2083,66.8408,57.8517,123.1698,4.985,2.3329,0.4191
0,47.9962,59.8535,45.472,67.1781,56.5972,122.8969,3.2651,-1.7781,-0.8583
0,50.8966,61.6992,50.6575,67.4825,57.9353,122.9661,3.2408,2.2057,5.6235
0,47.5567,59.502,52.1517,67.5477,57.7653,122.0411,-3.72,-2.3643,1.1547
0,43.6017,58.0078,52.0638,68.366,57.5637,121.2135,-4.4529,-1.1219,0.5659
0,46.502,62.8418,55.8431,69.5363,57.5993,120.4737,3.1576,5.2024,4.1978
0,47.7325,59.6777,51.7122,69.3897,56.2577,120.5985,-0.4496,-3.304,-4.5919
0,43.0743,57.2168,47.054,70.4541,55.5343,120.0679,-4.9839,-2.6616,-4.915
0,41.1407,52.5586,45.9114,69.2711,54.8427,120.7416,-2.2352,-5.0782,-1.0355
0,40.7892,48.4277,43.0989,68.2728,55.2712,121.2436,-0.093,-4.3928,-3.2097
1,41.3235,41.661,41.3912,63.7531,60.9709,123.2114,41.9902,41.9902,41.9902
1,40.8841,43.6825,39.0182,63.2357,62.0644,122.934,-0.7261,2.4532,-2.9003
1,38.2474,43.2431,41.3033,62.7594,60.6321,123.4465,-2.9968,-0.5598,2.4063
1,42.9056,43.2431,42.8854,61.8968,59.5611,123.1977,4.8804,0.1608,1.9503
1,47.7396,44.122,45.0826,61.9957,60.9278,123.1955,5.2774,1.1941,2.5562
1,49.0579,41.3974,42.0064,61.9486,61.6804,122.4616,1.0827,-3.1263,-3.3717
1,45.6302,36.3876,40.3365,63.0499,60.6772,122.3353,-3.746,-5.3297,-1.7027
1,48.6185,38.4091,45.61,64.2847,61.3623,122.0535,3.4663,2.5069,5.5866
1,52.0462,38.8485,44.4674,65.438,61.9536,121.7,3.7048,0.7052,-1.4683
1,56.7044,42.9794,48.4225,64.2616,62.8075,121.9102,5.1032,4.4018,4.3677
1,59.1653,41.4853,51.3229,64.4482,61.6771,121.1609,2.7646,-1.5108,3.0257
1,63.5599,42.4521,51.6744,65.1622,61.7302,120.3796,4.8844,1.3054,0.913
1,64.8782,47.7255,53.608,64.2287,62.7688,120.652,1.6248,5.5454,2.1131
1,65.845,43.1552,50.7955,65.0774,61.4649,120.6416,-0.2,-4.7049,-3.1554
1,62.2415,43.8583,51.235,63.6662,61.1803,121.1326,-3.5071,0.884,1.1168
1,58.0228,43.9462,48.5982,63.4627,62.0772,121.6969,-4.5721,-0.317,-2.8912
1,56.0892,43.331,51.1471,64.1125,63.5494,121.3609,-2.2399,-0.9529,2.8948
1,54.595,44.3857,47.5436,63.1815,62.2773,121.7635,-0.8977,1.5084,-3.7351
1,55.6497,48.1649,46.5768,62.9936,61.9286,120.7215,1.4994,3.9776,-1.1814
1,57.056,45.1767,43.6764,62.4707,63.0065,121.2235,1.0844,-3.4214,-3.0631
1,52.4857,45.1767,42.0943,62.562,63.5432,120.3254,-4.4716,0.2415,-1.8756
1,49.2337,40.079,37.9635,61.7171,63.694,119.6194,-3.6017,-5.5285,-4.2823
1,48.0911,38.2333,32.7779,59.9646,63.0584,120.1991,-1.2629,-2.3273,-5.4971
1,51.5189,38.2333,32.5143,60.5823,62.1095,120.672,3.8938,-0.4899,-0.6464
1,53.2767,39.5517,30.4049,60.7199,63.7647,120.6112,2.2967,1.6167,-2.7107
1,55.1224,44.5614,31.3717,61.4008,64.2778,121.4619,2.2301,5.3862,1.4508
1,58.5501,47.4618,31.3717,60.4409,63.5784,120.8146,3.9051,3.1642,-0.3596
1,55.8255,48.8681,29.7018,60.1679,63.7308,121.9689,-2.9899,1.8733,-2.1375
1,60.6595,50.538,31.899,61.1784,64.0994,120.9716,5.2542,1.9273,2.4867
1,60.7474,55.0204,32.69,59.762,63.6402,121.0145,0.3929,4.788,1.0803
1,60.6595,50.7138,33.6568,58.3184,62.7186,121.4101,-0.6007,-4.6077,-0.1931
1,60.7474,47.9013,35.4146,58.0951,63.6885,122.0933,0.6293,-3.0975,2.2183
1,64.9661,52.7353,38.7545,56.6152,64.047,121.8705,4.5908,4.9894,3.654
1,66.1087,55.6357,43.7643,56.1132,64.218,122.9154,1.2111,3.2737,5.42
1,68.9212,54.4931,47.5436,56.8114,65.7745,122.2389,1.7191,-1.2842,3.9324
1,72.7005,56.3388,52.2018,57.2488,64.31,122.2155,4.262,2.0598,4.9626
1,74.1068,54.3173,47.192,55.8513,64.005,122.2612,-0.3133,-2.4533,-5.0062
1,74.1946,51.5927,43.0611,57.0417,64.5634,122.5478,0.5488,-2.6265,-4.3612
1,73.14,55.9872,44.2916,58.0145,64.3325,121.7714,-0.3174,4.5796,1.6786
1,72.6126,59.2392,47.2799,59.2069,64.192,121.1701,-0.6446,3.6116,3.5285
1,74.2825,63.37,51.7623,60.1605,64.5675,122.0023,1.7381,4.3268,5.0184
1,71.2943,59.5907,52.817,61.7319,65.4479,121.3145,-3.1198,-4.2039,0.0437
1,72.7005,63.1064,51.1471,62.9895,64.5793,121.4647,1.6673,3.9054,-1.1499
1,74.1946,60.997,53.9596,62.8061,63.9585,120.5531,-0.2111,-2.5473,2.8864
1,71.8216,64.0732,55.3658,61.6055,62.7497,121.1305,-1.7047,3.3653,1.7123
1,75.7767,64.7763,59.0572,60.4644,62.5306,121.5216,4.1932,0.7403,4.0803
1,74.3704,67.5009,61.1666,60.0501,63.112,120.4014,-1.7289,2.9623,2.4501
1,77.6224,72.3349,63.6275,61.7516,62.989,121.1134,3.5713,5.1797,2.5614
1,80.1712,70.5771,66.8795,61.3419,63.6098,121.9938,1.5798,-1.9818,3.1609
1,79.7318,67.0614,67.9342,61.4854,62.6487,122.4509,-0.5001,-3.8572,1.3142
1,84.2142,70.7528,70.0436,62.3724,62.815,122.7677,4.78,3.9948,2.1749
2,41.6312,41.6751,41.814,63.3438,61.1621,122.9871,42.4761,42.4761,42.4761
2,44.8831,46.3333,46.4722,63.4084,62.3006,123.0607,3.6517,5.0986,4.9232
2,49.1019,46.3333,49.1089,62.2102,61.6412,123.3497,4.6948,0.3353,3.0668
2,54.0237,50.2005,51.5698,63.4215,60.9868,122.8785,5.3168,4.0371,2.466
2,50.7718,51.6946,49.3726,64.4747,60.6676,122.1171,-3.4538,1.0413,-2.9931
2,51.7386,48.97,44.978,65.8949,60.4914,122.5602,0.4616,-2.8569,-4.1894
2,50.596,51.6068,42.6929,65.5985,59.7192,123.2098,-0.5203,3.1341,-2.1094
2,53.5843,54.6829,48.1421,65.3976,58.924,122.3559,3.3993,3.3009,5.6965
2,55.43,55.6497,52.8882,66.6781,59.1437,122.118,2.0122,1.1772,5.2869
2,51.7386,56.4407,50.5151,67.1505,59.1143,121.1541,-4.1201,0.5575,-2.7027
2,50.1566,51.7825,46.0327,67.6598,57.6813,121.003,-1.9163,-4.7492,-4.5868
2,48.9261,48.179,46.7358,69.0844,57.7727,120.3202,-1.6514,-3.8691,1.2189
2,46.7288,50.9036,45.4175,68.6579,58.7516,119.7746,-2.4705,2.7983,-0.7042
2,46.2015,54.0677,48.4937,70.0781,58.0714,120.2549,-0.7664,3.3402,3.4841
2,45.4984,57.5833,48.4937,68.5933,58.3899,120.4418,-1.1629,3.8708,0.3394
2,43.7405,56.9681,51.4819,67.5484,59.2146,121.0649,-2.1093,-0.7091,3.1052
2,40.137,52.6614,51.1304,66.3904,58.3972,121.234,-3.6685,-4.4013,-0.3613
2,42.5101,53.804,48.4937,66.4662,59.7668,121.4034,2.8817,1.5935,-2.2581
2,46.7288,57.9349,49.6362,66.6252,61.037,121.0985,4.4538,4.3711,1.1243
2,45.3226,53.1888,46.9995,68.0372,60.8104,121.5249,-1.4856,-5.173,-3.0396
2,44.7073,57.4954,49.1968,66.7674,61.4182,122.046,0.3714,4.7648,2.3674
2,43.6526,60.6595,50.7788,66.9253,61.2023,122.8309,-1.3181,3.636,1.9261
2,45.2347,59.5169,47.6147,67.6863,62.0002,123.3274,1.9174,-1.0496,-3.3959
